#HDR|B-PARTNER_GAMMA-BANK-20240116|PARTNER_GAMMA|2024-01-16|129|67061860
LOAN_ID|DISB_AMT_PAISE|TS|STATUS|UTR|EVT_TYPE|CORR_ID|BIZ_EVT_ID
LOAN-000006|599823|2024-01-16T10:29Z|SUCCESS|UTR-LOAN-000006-935|SETTLEMENT_DEBIT|CORR-LOAN-000006|EVT-LOAN-000006
LOAN-000012|523747|2024-01-16T14:18Z|SUCCESS|UTR-LOAN-000012-823|SETTLEMENT_DEBIT|CORR-LOAN-000012|EVT-LOAN-000012
LOAN-000014|462709|2024-01-16T09:57Z|SUCCESS|UTR-LOAN-000014-104|SETTLEMENT_DEBIT|CORR-LOAN-000014|EVT-LOAN-000014
LOAN-000022|366324|2024-01-16T17:09Z|SUCCESS|UTR-LOAN-000022-881|SETTLEMENT_DEBIT|CORR-LOAN-000022|EVT-LOAN-000022
LOAN-000025|801766|2024-01-16T11:52Z|SUCCESS|UTR-LOAN-000025-374|SETTLEMENT_DEBIT|CORR-LOAN-000025|EVT-LOAN-000025
LOAN-000054|816447|2024-01-16T17:27Z|SUCCESS|UTR-LOAN-000054-969|SETTLEMENT_DEBIT|CORR-LOAN-000054|EVT-LOAN-000054
LOAN-000091|756442|2024-01-16T11:43Z|SUCCESS|UTR-LOAN-000091-196|SETTLEMENT_DEBIT|CORR-LOAN-000091|EVT-LOAN-000091
LOAN-000104|342815|2024-01-16T10:59Z|SUCCESS|UTR-LOAN-000104-148|SETTLEMENT_DEBIT|CORR-LOAN-000104|EVT-LOAN-000104
LOAN-000115|586762|2024-01-16T13:00Z|SUCCESS|UTR-LOAN-000115-483|SETTLEMENT_DEBIT|CORR-LOAN-000115|EVT-LOAN-000115
LOAN-000116|431541|2024-01-16T16:10Z|SUCCESS|UTR-LOAN-000116-526|SETTLEMENT_DEBIT|CORR-LOAN-000116|EVT-LOAN-000116
LOAN-000121|489582|2024-01-16T11:01Z|SUCCESS|UTR-LOAN-000121-835|SETTLEMENT_DEBIT|CORR-LOAN-000121|EVT-LOAN-000121
LOAN-000126|347892|2024-01-16T10:56Z|SUCCESS|UTR-LOAN-000126-373|SETTLEMENT_DEBIT|CORR-LOAN-000126|EVT-LOAN-000126
LOAN-000127|259048|2024-01-16T10:15Z|SUCCESS|UTR-LOAN-000127-692|SETTLEMENT_DEBIT|CORR-LOAN-000127|EVT-LOAN-000127
LOAN-000133|751555|2024-01-16T12:17Z|SUCCESS|UTR-LOAN-000133-363|SETTLEMENT_DEBIT|CORR-LOAN-000133|EVT-LOAN-000133
LOAN-000144|536759|2024-01-16T10:31Z|SUCCESS|UTR-LOAN-000144-45|SETTLEMENT_DEBIT|CORR-LOAN-000144|EVT-LOAN-000144
LOAN-000145|798397|2024-01-16T14:12Z|SUCCESS|UTR-LOAN-000145-637|SETTLEMENT_DEBIT|CORR-LOAN-000145|EVT-LOAN-000145
LOAN-000156|567882|2024-01-16T14:25Z|SUCCESS|UTR-LOAN-000156-412|SETTLEMENT_DEBIT|CORR-LOAN-000156|EVT-LOAN-000156
LOAN-000168|672314|2024-01-16T11:55Z|SUCCESS|UTR-LOAN-000168-344|SETTLEMENT_DEBIT|CORR-LOAN-000168|EVT-LOAN-000168
LOAN-000170|473215|2024-01-16T13:08Z|SUCCESS|UTR-LOAN-000170-679|SETTLEMENT_DEBIT|CORR-LOAN-000170|EVT-LOAN-000170
LOAN-000175|531668|2024-01-16T13:47Z|SUCCESS|UTR-LOAN-000175-485|SETTLEMENT_DEBIT|CORR-LOAN-000175|EVT-LOAN-000175
LOAN-000186|497737|2024-01-16T10:10Z|SUCCESS|UTR-LOAN-000186-210|SETTLEMENT_DEBIT|CORR-LOAN-000186|EVT-LOAN-000186
LOAN-000190|580762|2024-01-16T11:18Z|SUCCESS|UTR-LOAN-000190-921|SETTLEMENT_DEBIT|CORR-LOAN-000190|EVT-LOAN-000190
LOAN-000195|466673|2024-01-16T10:26Z|SUCCESS|UTR-LOAN-000195-333|SETTLEMENT_DEBIT|CORR-LOAN-000195|EVT-LOAN-000195
