#HDR|B-PARTNER_GAMMA-LMS-20240115|PARTNER_GAMMA|2024-01-15|105|55391368
LOAN_ID|DISB_AMT_PAISE|TS|STATUS|UTR|EVT_TYPE|CORR_ID|BIZ_EVT_ID
LOAN-000001|311248|2024-01-15T10:35Z|SUCCESS|UTR-LOAN-000001-918|LMS_BOOKING|CORR-LOAN-000001|EVT-LOAN-000001
LOAN-000004|446030|2024-01-15T15:17Z|SUCCESS|UTR-LOAN-000004-756|LMS_BOOKING|CORR-LOAN-000004|EVT-LOAN-000004
LOAN-000020|745481|2024-01-15T16:22Z|SUCCESS|UTR-LOAN-000020-441|LMS_BOOKING|CORR-LOAN-000020|EVT-LOAN-000020
LOAN-000033|974815|2024-01-15T16:38Z|SUCCESS|UTR-LOAN-000033-816|LMS_BOOKING|CORR-LOAN-000033|EVT-LOAN-000033
LOAN-000064|876778|2024-01-15T10:43Z|SUCCESS|UTR-LOAN-000064-233|LMS_BOOKING|CORR-LOAN-000064|EVT-LOAN-000064
LOAN-000069|269674|2024-01-15T13:16Z|SUCCESS|UTR-LOAN-000069-480|LMS_BOOKING|CORR-LOAN-000069|EVT-LOAN-000069
LOAN-000073|196863|2024-01-15T16:06Z|SUCCESS|UTR-LOAN-000073-551|LMS_BOOKING|CORR-LOAN-000073|EVT-LOAN-000073
LOAN-000077|262806|2024-01-15T10:36Z|SUCCESS|UTR-LOAN-000077-821|LMS_BOOKING|CORR-LOAN-000077|EVT-LOAN-000077
LOAN-000090|389107|2024-01-15T14:32Z|SUCCESS|UTR-LOAN-000090-281|LMS_BOOKING|CORR-LOAN-000090|EVT-LOAN-000090
LOAN-000092|112304|2024-01-15T12:21Z|SUCCESS|UTR-LOAN-000092-988|LMS_BOOKING|CORR-LOAN-000092|EVT-LOAN-000092
LOAN-000125|365465|2024-01-15T11:33Z|SUCCESS|UTR-LOAN-000125-908|LMS_BOOKING|CORR-LOAN-000125|EVT-LOAN-000125
